foldChange145,fonte,foldChange195b,fonte.2
0.564,Tumor,1.838,Tumor
0.564,Tumor,1.821,Tumor
0.56,Tumor,1.827,Tumor
0.561,Tumor,1.932,Tumor
0.561,Tumor,1.904,Tumor
0.56,Tumor,1.591,Tumor
0.562,Tumor,1.921,Tumor
0.56,Tumor,1.904,Tumor
0.503,Tumor,1.931,Tumor
0.503,Tumor,1.91,Tumor
0.527,Tumor,1.82,Tumor
0.527,Tumor,1.904,Tumor
0.526,Tumor,1.87,Tumor
0.526,Tumor,1.862,Tumor
0.626,Tumor,1.975,Tumor
0.683,Tumor,1.929,Tumor
0.683,Tumor,1.901,Tumor
0.683,Tumor,1.88,Tumor
0.603,Tumor,1.886,Tumor
0.665,Tumor,1.925,Tumor
0.666,Tumor,1.929,Tumor
0.665,Tumor,1.901,Tumor
0.665,Tumor,1.86,Tumor
0.665,Tumor,1.901,Tumor
0.666,Tumor,1.93,Tumor
0.666,Tumor,1.927,Tumor
0.669,Tumor,1.654,Tumor
0.665,Tumor,1.561,Tumor
0.665,Tumor,1.636,Tumor
0.665,Tumor,1.547,Tumor
0.668,Tumor,1.654,Tumor
0.662,Tumor,1.587,Tumor
0.666,Tumor,1.547,Tumor
0.667,Tumor,1.813,Tumor
0.667,Tumor,1.966,Tumor
0.667,Tumor,1.938,Tumor
0.667,Tumor,1.692,Tumor
0.688,Tumor,1.544,Tumor
0.688,Tumor,1.532,Tumor
0.688,Tumor,1.42,Tumor
0.688,Tumor,1.505,Tumor
0.717,Tumor,1.72,Tumor
0.717,Tumor,1.537,Tumor
0.717,Tumor,1.443,Tumor
0.67,Tumor,1.554,Tumor
0.67,Tumor,1.61,Tumor
0.67,Tumor,1.45,Tumor
0.67,Tumor,1.505,Tumor
0.669,Tumor,1.439,Tumor
0.665,Tumor,1.616,Tumor
0.665,Tumor,1.898,Tumor
0.665,Tumor,1.999,Tumor
0.665,Tumor,1.599,Tumor
0.666,Tumor,1.693,Tumor
0.666,Tumor,1.555,Tumor
0.668,Tumor,1.652,Tumor
0.668,Tumor,2.129,Tumor
0.668,Tumor,1.509,Tumor
0.668,Tumor,1.454,Tumor
0.665,Tumor,1.725,Tumor
0.665,Tumor,1.754,Tumor
0.665,Tumor,1.749,Tumor
0.665,Tumor,1.51,Tumor
0.665,Tumor,1.723,Tumor
0.665,Tumor,1.541,Tumor
0.665,Tumor,1.566,Tumor
0.668,Tumor,1.647,Tumor
0.668,Tumor,1.825,Tumor
0.668,Tumor,1.482,Tumor
0.663,Tumor,1.697,Tumor
0.67,Tumor,1.537,Tumor
0.67,Tumor,1.667,Tumor
0.67,Tumor,1.696,Tumor
0.669,Tumor,1.535,Tumor
0.669,Tumor,1.564,Tumor
0.669,Tumor,1.455,Tumor
0.669,Tumor,1.482,Tumor
0.67,Tumor,1.581,Tumor
0.669,Tumor,1.756,Tumor
0.979,Tumor,1.694,Tumor
0.976,Tumor,1.799,Tumor
0.976,Tumor,1.613,Tumor
0.976,Tumor,1.719,Tumor
0.788,Tumor,1.457,Tumor
0.93,Tumor,1.579,Tumor
